IrE,ErE,Reward,Param,Value,Q-value
0.3,0.126,0,averageRoomVentilationRate,10,0
0.3,0.09,1,averageRoomVentilationRate,4,0.1
0.362,0.25,-1,averageRoomVentilationRate,4,-0.002
0.3,0.35,-1,averageRoomVentilationRate,0,-0.1
0.3,0.35,-1,averageRoomVentilationRate,0,-0.19
0.366,0.244,-1,averageRoomVentilationRate,2,-0.1
0.3,0.042,1,averageRoomVentilationRate,6,0.1
0.3,0.044,0.02,averageRoomVentilationRate,6,0.1
0.354,0.27,-1,averageRoomVentilationRate,6,-0.002
0.3,0.092,-1,averageRoomVentilationRate,8,-0.1
0.3,0.172,-1,averageRoomVentilationRate,10,-0.1
0.364,0.236,-1,averageRoomVentilationRate,4,-0.102
0.3,0.04,1,averageRoomVentilationRate,6,0.098
0.3,0.062,0.02,averageRoomVentilationRate,6,0.0981
0.348,0.288,-1,averageRoomVentilationRate,6,-0.0039
0.3,0.022,1,averageRoomVentilationRate,6,0.0962
0.3,0.08,0.02,averageRoomVentilationRate,6,0.0963
0.36,0.284,-1,averageRoomVentilationRate,6,-0.0057
0.3,0.044,0.02,averageRoomVentilationRate,6,-0.0035
0.3,0.084,0.02,averageRoomVentilationRate,6,-0.0015
0.41,0.34,-1,infectionProbability,0.6,-0.1
0.3,0.034,-1,infectionProbability,0,-0.1
0.266,0.104,1,infectionProbability,0.2,0.1
0.12,0.204,1,infectionProbability,0.2,0.198
0.214,0.3,-1,infectionProbability,0.6,-0.1742
0.264,0.126,1,infectionProbability,0.2,0.294
0.428,0.342,-1,infectionProbability,0.6,-0.2332
0.148,0.132,1,infectionProbability,0.2,0.3882
0.28,0.15,0.02,infectionProbability,0.2,0.3824
0.108,0.214,1,infectionProbability,0.2,0.4747
0.162,0.102,1,infectionProbability,0.2,0.5653
0.31,0.176,-1,infectionProbability,0.2,0.4539
0.112,0.196,1,infectionProbability,0.2,0.5449
0.26,0.284,-1,infectionProbability,0.8,-0.0564
0.334,0.256,-1,infectionProbability,0.2,0.434
0.122,0.162,1,infectionProbability,0.2,0.5253
0.184,0.096,1,infectionProbability,0.2,0.6148
0.354,0.292,-1,infectionProbability,0.2,0.5025
0.1,0.19,1,infectionProbability,0.2,0.5924
0.192,0.054,1,infectionProbability,0.2,0.6806
0.372,0.316,-1,averageRoomVentilationRate,6,-0.1014
0.362,0.35,-1,averageRoomVentilationRate,2,-0.198
0.248,0.104,-1,averageRoomVentilationRate,10,-0.198
0.356,0.326,-1,averageRoomVentilationRate,8,-0.198
0.122,0.164,-1,averageRoomVentilationRate,6,-0.1994
0.176,0.186,-1,averageRoomVentilationRate,4,-0.1999
0.472,0.35,-1,averageRoomVentilationRate,0,-0.2862
0.204,0.054,-1,averageRoomVentilationRate,10,-0.294
0.248,0.082,-1,averageRoomVentilationRate,8,-0.294
0.422,0.35,-1,averageRoomVentilationRate,2,-0.294
0.12,0.162,1,averageRoomVentilationRate,6,-0.0954
0.236,0.086,-1,averageRoomVentilationRate,6,-0.1935
0.354,0.286,-1,averageRoomVentilationRate,6,-0.2896
0.052,0.296,1,averageRoomVentilationRate,4,-0.0959
0.23,0.132,-1,averageRoomVentilationRate,4,-0.194
0.288,0.336,-1,averageRoomVentilationRate,4,-0.2901
0.5,0.35,-1,averageRoomVentilationRate,0,-0.3805
0.26,0.094,-1,averageRoomVentilationRate,6,-0.3839
0.13,0.336,-1,averageRoomVentilationRate,4,-0.3843
0.204,0.35,-1,averageRoomVentilationRate,2,-0.3882
0.218,0.292,-1,infectionProbability,0.4,-0.0456
0.422,0.35,-1,infectionProbability,0.2,0.567
0.202,0.35,-1,infectionProbability,0.2,0.4556
0.26,0.32,-1,infectionProbability,0.8,-0.1143
0.424,0.35,-1,infectionProbability,0.2,0.3465
0.192,0.35,-1,infectionProbability,0.2,0.2396
0.268,0.236,-1,infectionProbability,0.2,0.1348
0.384,0.35,-1,infectionProbability,0.2,0.0321
0.126,0.35,-1,infectionProbability,0.2,-0.0685
0.29,0.314,-1,infectionProbability,1,-0.1
0.496,0.35,-1,infectionProbability,0.4,-0.1446
0.128,0.346,-1,infectionProbability,0.2,-0.1672
0.314,0.328,-1,infectionProbability,1,-0.198
0.3,0.264,-1,infectionProbability,0,-0.198
0.374,0.35,-1,infectionProbability,0.4,-0.2393
0.368,0.228,-1,infectionProbability,0,-0.2873
0.5,0.35,-1,infectionProbability,0.8,-0.212
0.12,0.346,-1,infectionProbability,0.2,-0.2638
0.398,0.314,-1,infectionProbability,1,-0.294
0.494,0.35,-1,infectionProbability,0.4,-0.3324
0.188,0.094,1,averageRoomVentilationRate,10,-0.1882
0.35,0.326,-1,averageRoomVentilationRate,6,-0.4605
0.084,0.044,1,averageRoomVentilationRate,10,-0.0844
0.208,0.106,-1,averageRoomVentilationRate,10,-0.1827
0.356,0.344,-1,averageRoomVentilationRate,10,-0.2791
0.106,0.054,0.02,averageRoomVentilationRate,10,-0.2715
0.226,0.128,-1,averageRoomVentilationRate,10,-0.366
0.362,0.33,-1,averageRoomVentilationRate,8,-0.3882
0.116,0.266,-1,averageRoomVentilationRate,6,-0.5438
0.248,0.164,-1,averageRoomVentilationRate,10,-0.4587
0.5,0.35,-1,averageRoomVentilationRate,0,-0.4729
0.282,0.344,-1,averageRoomVentilationRate,4,-0.4766
0.204,0.326,-1,averageRoomVentilationRate,2,-0.4804
0.5,0.35,-1,averageRoomVentilationRate,0,-0.5566
0.052,0.146,1,averageRoomVentilationRate,8,-0.2804
0.254,0.118,-1,averageRoomVentilationRate,8,-0.3748
0.142,0.25,-1,averageRoomVentilationRate,8,-0.4673
0.118,0.046,0.02,averageRoomVentilationRate,10,-0.4475
0.28,0.204,-1,averageRoomVentilationRate,10,-0.5386
0.118,0.236,-1,averageRoomVentilationRate,8,-0.5579
0.18,0.232,-1,infectionProbability,0.8,-0.3078
0.264,0.214,-1,infectionProbability,0.6,-0.3286
0.184,0.076,-1,infectionProbability,0.2,-0.3585
0.3,0.098,-1,infectionProbability,0,-0.3816
0.268,0.2,-1,infectionProbability,1,-0.3882
0.392,0.302,-1,infectionProbability,0.8,-0.4016
0.106,0.116,-1,infectionProbability,0.6,-0.422
0.336,0.316,-1,infectionProbability,0.4,-0.4257
0.184,0.04,1,infectionProbability,0.2,-0.2514
0.22,0.06,-1,infectionProbability,0.2,-0.3463
0.362,0.328,-1,infectionProbability,0.2,-0.4394
0.178,0.05,-1,infectionProbability,0.2,-0.526
0.3,0.104,-1,infectionProbability,0,-0.474
0.4,0.344,-1,infectionProbability,1,-0.4804
0.438,0.318,-1,infectionProbability,1,-0.5645
0.122,0.13,-1,infectionProbability,0.8,-0.4936
0.344,0.324,-1,infectionProbability,0.6,-0.5135
0.046,0.132,1,infectionProbability,0.4,-0.3172
0.154,0.078,-1,infectionProbability,0.4,-0.4108
0.364,0.346,-1,infectionProbability,0.4,-0.5026
0.31,0.346,-1,averageRoomVentilationRate,4,-0.5671
0.162,0.346,-1,averageRoomVentilationRate,2,-0.5708
0.366,0.372,-1,averageRoomVentilationRate,10,-0.6278
0.1,0.27,-1,averageRoomVentilationRate,6,-0.6329
0.5,0.35,-1,averageRoomVentilationRate,0,-0.6455
0.418,0.348,-1,averageRoomVentilationRate,4,-0.655
0.042,0.15,1,averageRoomVentilationRate,8,-0.4468
0.22,0.072,-1,averageRoomVentilationRate,8,-0.5379
0.3,0.304,-1,averageRoomVentilationRate,8,-0.6271
0.488,0.35,-1,averageRoomVentilationRate,2,-0.6594
0.242,0.116,-1,averageRoomVentilationRate,8,-0.7146
0.062,0.126,1,averageRoomVentilationRate,10,-0.5153
0.116,0.042,1,averageRoomVentilationRate,10,-0.405
0.266,0.218,-1,averageRoomVentilationRate,10,-0.4969
0.072,0.138,-1,averageRoomVentilationRate,10,-0.5869
0.122,0.054,0.02,averageRoomVentilationRate,10,-0.5732
0.28,0.226,-1,averageRoomVentilationRate,10,-0.6617
0.188,0.3,-1,averageRoomVentilationRate,6,-0.7202
0.5,0.35,-1,averageRoomVentilationRate,0,-0.7326
0.266,0.198,-1,averageRoomVentilationRate,4,-0.7419
0.3,0.114,-1,infectionProbability,0,-0.5645
0.436,0.346,-1,infectionProbability,0.8,-0.5837
0.298,0.202,-1,infectionProbability,0.4,-0.5926
0.48,0.35,-1,infectionProbability,0.6,-0.6033
0.1,0.252,-1,infectionProbability,0.2,-0.6155
0.296,0.256,-1,infectionProbability,1,-0.6532
0.3,0.104,-1,infectionProbability,0,-0.6532
0.3,0.084,-1,infectionProbability,0,-0.7346
0.382,0.288,-1,infectionProbability,0.8,-0.6721
0.374,0.346,-1,infectionProbability,0.4,-0.6807
0.186,0.32,-1,infectionProbability,0.6,-0.6912
