IrE,ErE,Reward,Param,Value,Q-value
0.488,0.35,0,infectionProbability,0.2,0
0.5,0.35,0,infectionProbability,0.8,0
0.362,0.334,0.126,infectionProbability,0.6,0.0252
0.5,0.35,-0.138,infectionProbability,0.6,-0.0034
0.48,0.35,-0.118,infectionProbability,0.6,-0.0263
0.408,0.318,0,infectionProbability,0.2,0
0.5,0.35,-0.138,infectionProbability,0.4,-0.0276
0.49,0.35,-0.128,infectionProbability,1,-0.0256
0.424,0.336,0,infectionProbability,0.8,0
0.5,0.35,-0.138,infectionProbability,0.8,-0.0276
0.3,0.322,0,infectionProbability,0,0
0.468,0.35,-0.168,infectionProbability,0.2,-0.0336
0.3,0.334,0,infectionProbability,0,0
0.3,0.314,0,infectionProbability,0,0
0.362,0.33,0,infectionProbability,0,0
0.3,0.33,0,infectionProbability,0,0
0.3,0.314,0,infectionProbability,0,0
0.342,0.342,0,infectionProbability,0,0
0.3,0.334,0,infectionProbability,0,0
0.3,0.312,0,infectionProbability,0,0
0.3,0.24,0,averageRoomVentilationRate,3,0
0.3,0.282,0,averageRoomVentilationRate,1.8,0
0.3,0.14,0,averageRoomVentilationRate,3,0
0.3,0.264,0,averageRoomVentilationRate,2.4,0
0.3,0.18,0,averageRoomVentilationRate,3,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.266,0,averageRoomVentilationRate,2.4,0
0.3,0.332,0,averageRoomVentilationRate,1.2,0
0.3,0.214,0,averageRoomVentilationRate,1.8,0
0.3,0.204,0,averageRoomVentilationRate,3,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.314,0.336,0,averageRoomVentilationRate,0.6,0
0.3,0.294,0,averageRoomVentilationRate,1.8,0
0.3,0.23,0,averageRoomVentilationRate,2.4,0
0.34,0.272,0,averageRoomVentilationRate,1.2,0
0.3,0.25,0,averageRoomVentilationRate,2.4,0
0.3,0.282,0,averageRoomVentilationRate,1.8,0
0.366,0.232,0,averageRoomVentilationRate,3,0
0.3,0.19,0,averageRoomVentilationRate,3,0
0.3,0.274,0,averageRoomVentilationRate,1.8,0
0.37,0.24,0,infectionProbability,0,0
0.498,0.35,-0.198,infectionProbability,0.4,-0.0617
0.428,0.35,-0.128,infectionProbability,0.6,-0.0467
0.354,0.252,0,infectionProbability,0,0
0.388,0.35,0,infectionProbability,0.2,-0.0269
0.3,0.274,0,infectionProbability,0,0
0.374,0.292,0,infectionProbability,0,0
0.3,0.284,0,infectionProbability,0,0
0.3,0.26,0,infectionProbability,0,0
0.486,0.35,-0.186,infectionProbability,0.4,-0.0865
0.3,0.3,0,infectionProbability,0,0
0.3,0.262,0,infectionProbability,0,0
0.364,0.298,0,infectionProbability,0,0
0.3,0.294,0,infectionProbability,0,0
0.3,0.24,0,infectionProbability,0,0
0.5,0.35,-0.2,infectionProbability,0.6,-0.0773
0.3,0.29,0,infectionProbability,0,0
0.3,0.234,0,infectionProbability,0,0
0.3,0.294,0,infectionProbability,0,0
0.3,0.294,0,infectionProbability,0,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.236,0,averageRoomVentilationRate,3,0
0.3,0.33,0,averageRoomVentilationRate,1.2,0
0.3,0.284,0,averageRoomVentilationRate,1.2,0
0.3,0.25,0,averageRoomVentilationRate,2.4,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.17,0,averageRoomVentilationRate,3,0
0.3,0.246,0,averageRoomVentilationRate,2.4,0
0.3,0.238,0,averageRoomVentilationRate,2.4,0
0.33,0.34,0,averageRoomVentilationRate,0.6,0
0.3,0.302,0,averageRoomVentilationRate,1.8,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.364,0.176,0,averageRoomVentilationRate,2.4,0
0.3,0.188,0,averageRoomVentilationRate,3,0
0.3,0.28,0,averageRoomVentilationRate,1.8,0
0.362,0.21,0,averageRoomVentilationRate,3,0
0.3,0.172,0,averageRoomVentilationRate,3,0
0.3,0.156,0,averageRoomVentilationRate,3,0
0.37,0.332,0,averageRoomVentilationRate,0.6,0
0.3,0.294,0,averageRoomVentilationRate,1.8,0
0.472,0.35,-0.172,infectionProbability,1,-0.0549
0.346,0.284,0,infectionProbability,0,0
0.3,0.296,0,infectionProbability,0,0
0.3,0.27,0,infectionProbability,0,0
0.368,0.292,0,infectionProbability,0,0
0.3,0.302,0,infectionProbability,0,0
0.3,0.264,0,infectionProbability,0,0
0.49,0.35,-0.19,infectionProbability,0.4,-0.1072
0.3,0.294,0,infectionProbability,0,0
0.222,0.346,0,infectionProbability,0.4,-0.0858
0.364,0.294,-0.142,infectionProbability,0,-0.0284
0.302,0.35,0,infectionProbability,0.2,-0.0258
0.152,0.31,0,infectionProbability,0.2,-0.0248
0.446,0.35,-0.294,infectionProbability,0.2,-0.0826
0.5,0.35,-0.348,infectionProbability,0.8,-0.0961
0.276,0.346,-0.124,infectionProbability,0.8,-0.1062
0.3,0.306,-0.148,infectionProbability,0,-0.0569
0.5,0.35,-0.348,infectionProbability,1,-0.1223
0.3,0.23,-0.148,infectionProbability,0,-0.0842
0.5,0.35,-0.348,infectionProbability,0.6,-0.1438
0.488,0.35,-0.336,averageRoomVentilationRate,2.4,-0.0672
0.22,0.256,0,averageRoomVentilationRate,3,0
0.5,0.35,-0.348,averageRoomVentilationRate,3,-0.0696
0.5,0.35,-0.348,averageRoomVentilationRate,0.6,-0.0696
0.438,0.35,-0.286,averageRoomVentilationRate,0,-0.0572
0.5,0.35,-0.348,averageRoomVentilationRate,1.8,-0.0696
0.5,0.35,-0.348,averageRoomVentilationRate,1.2,-0.0696
0.418,0.35,-0.266,averageRoomVentilationRate,0,-0.1081
0.5,0.35,-0.348,averageRoomVentilationRate,2.4,-0.1341
0.494,0.35,-0.342,averageRoomVentilationRate,1.2,-0.1352
0.336,0.25,-0.184,averageRoomVentilationRate,3,-0.1036
0.5,0.35,-0.348,averageRoomVentilationRate,0.6,-0.1364
0.456,0.35,-0.304,averageRoomVentilationRate,1.8,-0.1276
0.388,0.256,-0.236,averageRoomVentilationRate,3,-0.1467
0.5,0.35,-0.348,averageRoomVentilationRate,0,-0.1734
0.328,0.35,-0.176,averageRoomVentilationRate,2.4,-0.1629
0.428,0.326,-0.276,averageRoomVentilationRate,1.8,-0.1777
0.5,0.35,-0.348,averageRoomVentilationRate,1.2,-0.1994
0.488,0.35,-0.336,averageRoomVentilationRate,0.6,-0.1982
0.468,0.35,-0.316,averageRoomVentilationRate,3,-0.204
0.118,0.342,0,infectionProbability,0.2,-0.0793
0.142,0.248,0,infectionProbability,0.2,-0.0761
0.378,0.344,-0.26,infectionProbability,0.2,-0.1251
0.3,0.186,-0.182,infectionProbability,0,-0.1172
0.146,0.264,0,infectionProbability,0.4,-0.0824
0.47,0.35,-0.352,infectionProbability,0.4,-0.1495
0.5,0.35,-0.382,infectionProbability,1,-0.1912
0.236,0.316,-0.118,infectionProbability,0.8,-0.1256
0.332,0.25,-0.214,infectionProbability,0,-0.1553
0.07,0.34,0,infectionProbability,0.2,-0.1201
0.22,0.192,-0.15,infectionProbability,0.2,-0.1453
0.5,0.35,-0.43,infectionProbability,0.8,-0.2065
0.47,0.35,-0.4,infectionProbability,0.6,-0.2181
0.3,0.124,-0.23,infectionProbability,0,-0.1935
0.22,0.35,-0.15,infectionProbability,0.2,-0.1694
0.33,0.35,-0.26,infectionProbability,0.4,-0.1955
0.262,0.212,-0.192,infectionProbability,0.2,-0.2011
