IrE,ErE,Reward,Param,Value,Q-value
0.488,0,0,infectionProbability,0.2,0
0.492,0,0,infectionProbability,0.6,0
0.374,0,0.114,infectionProbability,0.4,0.0228
0.5,0,-0.126,infectionProbability,0.4,-0.0033
0.478,0,-0.104,infectionProbability,0.6,-0.0208
0.412,0,-0.038,infectionProbability,1,-0.0076
0.3,0,0.074,infectionProbability,0,0.0148
0.3,0,0,infectionProbability,0,0.0142
0.346,0,-0.046,infectionProbability,0,0.0044
0.3,0,0,infectionProbability,0,0.0043
0.3,0,0,infectionProbability,0,0.0041
0.358,0,-0.058,infectionProbability,0,-0.0077
0.5,0,-0.2,infectionProbability,1,-0.0461
0.416,0,-0.116,infectionProbability,0.8,-0.0232
0.484,0,-0.184,infectionProbability,0.2,-0.0368
0.3,0,0,infectionProbability,0,-0.0067
0.242,0,0.058,infectionProbability,0.4,0.0084
0.5,0,-0.258,infectionProbability,0.4,-0.0435
0.3,0,-0.058,infectionProbability,0,-0.018
0.316,0,-0.074,infectionProbability,0.8,-0.0362
0.5,0,-0.258,averageRoomVentilationRate,2.4,-0.0516
0.5,0,-0.258,averageRoomVentilationRate,1.2,-0.0516
0.336,0,-0.094,averageRoomVentilationRate,0.6,-0.0188
0.5,0,-0.258,averageRoomVentilationRate,3,-0.0516
0.5,0,-0.258,averageRoomVentilationRate,1.2,-0.0929
0.292,0,-0.05,averageRoomVentilationRate,1.8,-0.01
0.5,0,-0.258,averageRoomVentilationRate,0,-0.0516
0.5,0,-0.258,averageRoomVentilationRate,1.8,-0.0612
0.356,0,-0.114,averageRoomVentilationRate,0.6,-0.0408
0.5,0,-0.258,averageRoomVentilationRate,0.6,-0.0908
0.5,0,-0.258,averageRoomVentilationRate,0,-0.1011
0.272,0,-0.03,averageRoomVentilationRate,2.4,-0.0555
0.5,0,-0.258,averageRoomVentilationRate,3,-0.1011
0.484,0,-0.242,averageRoomVentilationRate,2.4,-0.1017
0.258,0,-0.016,averageRoomVentilationRate,1.8,-0.062
0.5,0,-0.258,averageRoomVentilationRate,1.8,-0.1111
0.5,0,-0.258,averageRoomVentilationRate,0.6,-0.1388
0.336,0,-0.094,averageRoomVentilationRate,1.2,-0.108
0.5,0,-0.258,averageRoomVentilationRate,0,-0.1487
