IrE,ErE,Reward,Param,Value,Q-value
0.486,0.35,0,infectionProbability,0.2,0
0.468,0.35,0,infectionProbability,0.4,0
0.37,0.348,0,infectionProbability,1,0
0.5,0.35,-0.13,infectionProbability,0.4,-0.013
0.49,0.35,-0.12,infectionProbability,0.6,-0.012
0.418,0.318,0,infectionProbability,0.2,0
0.5,0.35,-0.13,infectionProbability,1,-0.013
0.19,0.35,0.18,infectionProbability,0.2,0.018
0.456,0.344,-0.266,infectionProbability,0.2,-0.0091
0.3,0.334,-0.11,infectionProbability,0,-0.011
0.436,0.35,-0.246,infectionProbability,0.8,-0.0246
0.472,0.35,-0.282,infectionProbability,0.2,-0.0371
0.3,0.336,-0.11,infectionProbability,0,-0.0217
0.41,0.35,-0.22,infectionProbability,0.6,-0.0336
0.5,0.35,-0.31,infectionProbability,0.4,-0.0436
0.5,0.35,-0.31,infectionProbability,1,-0.0436
0.3,0.32,-0.11,infectionProbability,0,-0.032
0.5,0.35,-0.31,infectionProbability,0.8,-0.0549
0.3,0.334,-0.11,infectionProbability,0,-0.0421
0.288,0.35,0,infectionProbability,0.6,-0.0326
0.5,0.35,-0.31,averageRoomVentilationRate,0.6,-0.031
0.472,0.35,-0.282,averageRoomVentilationRate,3,-0.0282
0.498,0.35,-0.308,averageRoomVentilationRate,0,-0.0308
0.498,0.35,-0.308,averageRoomVentilationRate,2.4,-0.0308
0.5,0.35,-0.31,averageRoomVentilationRate,1.2,-0.031
0.268,0.322,0,averageRoomVentilationRate,1.8,0
0.5,0.35,-0.31,averageRoomVentilationRate,1.8,-0.031
0.446,0.35,-0.256,averageRoomVentilationRate,3,-0.053
0.418,0.35,-0.228,averageRoomVentilationRate,0,-0.0527
0.5,0.35,-0.31,averageRoomVentilationRate,2.4,-0.0609
0.5,0.35,-0.31,averageRoomVentilationRate,0.6,-0.0611
0.262,0.308,0,averageRoomVentilationRate,1.8,-0.0301
0.5,0.35,-0.31,averageRoomVentilationRate,1.8,-0.0602
0.5,0.35,-0.31,averageRoomVentilationRate,1.2,-0.0611
0.414,0.35,-0.224,averageRoomVentilationRate,0,-0.0735
0.5,0.35,-0.31,averageRoomVentilationRate,3,-0.0824
0.478,0.35,-0.288,averageRoomVentilationRate,1.8,-0.0872
0.358,0.286,-0.168,averageRoomVentilationRate,2.4,-0.0758
0.5,0.35,-0.31,averageRoomVentilationRate,1.2,-0.0902
0.5,0.35,-0.31,averageRoomVentilationRate,0.6,-0.0902
0.392,0.35,-0.202,infectionProbability,0.6,-0.0519
0.5,0.35,-0.31,infectionProbability,0.2,-0.067
0.3,0.35,-0.11,infectionProbability,0,-0.0518
0.426,0.35,-0.236,infectionProbability,0.4,-0.0659
0.5,0.35,-0.31,infectionProbability,1,-0.0733
0.3,0.35,-0.11,infectionProbability,0,-0.0612
0.466,0.35,-0.276,infectionProbability,0.8,-0.0806
0.5,0.35,-0.31,infectionProbability,0.6,-0.0813
0.3,0.35,-0.11,infectionProbability,0,-0.0704
0.486,0.35,-0.296,infectionProbability,0.4,-0.0935
0.5,0.35,-0.31,infectionProbability,0.2,-0.0959
0.3,0.35,-0.11,infectionProbability,0,-0.0793
0.5,0.35,-0.31,infectionProbability,1,-0.1021
0.3,0.35,-0.11,infectionProbability,0,-0.0879
