IrE,ErE,Reward,Param,Value,Q-value
0.484,0.35,0,averageRoomVentilationRate,1.2,0
0.5,0.35,0,averageRoomVentilationRate,0,0
0.424,0.35,0,averageRoomVentilationRate,0,0
0.284,0.35,0.14,averageRoomVentilationRate,2.4,0.028
0.104,0.316,0.18,averageRoomVentilationRate,2.4,0.0629
0.364,0.316,-0.26,averageRoomVentilationRate,2.4,0.0084
0.236,0.35,-0.132,averageRoomVentilationRate,2.4,-0.0184
0.088,0.3,0,averageRoomVentilationRate,3,0
0.434,0.35,-0.346,averageRoomVentilationRate,0,-0.0692
0.392,0.35,-0.304,averageRoomVentilationRate,1.8,-0.0608
0.286,0.35,-0.198,averageRoomVentilationRate,0.6,-0.0396
0.364,0.348,-0.276,averageRoomVentilationRate,3,-0.0552
0.476,0.35,-0.388,averageRoomVentilationRate,1.2,-0.0776
0.11,0.316,0,averageRoomVentilationRate,2.4,-0.0176
0.396,0.35,-0.308,averageRoomVentilationRate,2.4,-0.0785
0.5,0.35,-0.412,averageRoomVentilationRate,0.6,-0.1204
0.176,0.204,0,averageRoomVentilationRate,3,-0.053
0.358,0.35,-0.27,averageRoomVentilationRate,3,-0.1049
0.338,0.35,-0.25,averageRoomVentilationRate,1.8,-0.1084
0.5,0.35,-0.412,averageRoomVentilationRate,0,-0.1488
0.3,0.35,-0.212,infectionProbability,0,-0.0424
0.5,0.35,-0.412,infectionProbability,1,-0.0824
0.5,0.35,-0.412,infectionProbability,0.4,-0.0824
0.5,0.35,-0.412,infectionProbability,0.6,-0.0824
0.5,0.35,-0.412,infectionProbability,0.8,-0.0824
0.388,0.35,-0.3,infectionProbability,0.2,-0.06
0.3,0.35,-0.212,infectionProbability,0,-0.0831
0.5,0.35,-0.412,infectionProbability,0.2,-0.14
0.428,0.35,-0.34,infectionProbability,1,-0.1471
0.5,0.35,-0.412,infectionProbability,0.4,-0.1615
0.3,0.35,-0.212,infectionProbability,0,-0.1221
0.444,0.35,-0.356,infectionProbability,0.6,-0.1503
0.5,0.35,-0.412,infectionProbability,0.8,-0.1615
0.3,0.35,-0.212,infectionProbability,0,-0.1596
0.35,0.35,-0.262,infectionProbability,0,-0.2025
0.5,0.35,-0.412,infectionProbability,0.2,-0.2168
0.5,0.35,-0.412,infectionProbability,1,-0.2236
0.43,0.35,-0.342,infectionProbability,0.6,-0.2127
0.5,0.35,-0.412,infectionProbability,0.8,-0.2374
0.5,0.35,-0.412,infectionProbability,0.4,-0.2374
0.388,0.332,-0.3,averageRoomVentilationRate,1.2,-0.1345
0.488,0.35,-0.4,averageRoomVentilationRate,2.4,-0.1554
0.164,0.334,0,averageRoomVentilationRate,3,-0.1007
0.426,0.35,-0.338,averageRoomVentilationRate,3,-0.1643
