,HOUSEHOLD_X,HOUSEHOLD_Y,HOUSEHOLD_TYPE,WORKPLACE_X,WORKPLACE_X,WORKPLACE_TYPE
0,164,220,14,225,267,16
1,211,127,12,226,210,46
2,166,236,14,267,207,10
3,89,49,14,316,254,0
4,313,313,14,302,250,10
5,285,160,12,259,254,2
6,295,209,14,289,232,7
7,211,347,14,232,209,10
8,92,23,14,203,281,25
9,287,207,12,321,299,17
10,195,321,14,210,298,0
11,207,201,14,157,310,10
12,264,112,11,272,98,16
13,84,46,12,238,170,17
14,43,50,14,85,32,30
15,194,248,14,281,336,24
16,210,199,14,362,314,17
17,216,336,14,273,202,24
18,219,334,12,327,275,6
19,184,181,14,200,319,23
20,327,322,37,239,404,17
21,255,83,14,302,237,46
22,250,70,14,172,201,44
23,205,227,14,265,175,16
24,307,353,14,151,224,8
25,324,97,14,343,180,17
26,236,223,14,255,177,24
27,65,60,12,318,333,6
28,294,243,14,105,316,2
29,178,270,37,260,177,8
30,240,310,14,215,207,10
31,280,99,14,264,233,10
32,177,244,14,193,231,16
33,288,129,14,258,269,25
34,290,382,14,234,103,24
35,209,240,14,229,100,8
36,306,130,14,296,226,25
37,207,225,14,107,315,6
38,311,256,14,195,181,38
39,304,108,14,286,241,7
40,306,228,14,237,307,10
41,218,220,14,247,326,6
42,287,247,14,265,140,10
43,202,226,14,288,265,21
44,190,303,12,287,263,21
45,291,48,12,287,243,7
46,231,225,14,98,38,17
47,252,259,12,194,137,33
48,271,68,14,313,217,17
49,177,193,12,221,208,10
50,308,404,14,292,160,1
51,179,154,12,179,247,17
52,297,242,14,292,257,25
53,264,114,12,259,363,17
54,319,358,14,268,205,10
55,204,219,14,248,207,23
56,215,330,12,295,345,17
57,214,324,12,313,263,17
58,244,248,14,295,246,30
59,201,233,14,303,246,6
60,218,207,14,319,229,10
61,186,235,14,280,222,7
62,336,241,37,243,303,24
63,244,348,14,96,31,44
64,175,195,12,289,232,7
65,48,45,14,306,326,17
66,283,206,14,219,208,10
67,178,335,12,328,262,6
68,320,302,14,326,208,46
69,323,126,12,197,278,0
70,219,243,14,362,300,4
71,299,208,14,138,275,6
72,224,234,14,229,89,24
73,241,332,14,291,254,33
74,303,130,14,234,230,23
75,214,220,14,285,224,23
76,195,201,14,238,251,0
77,319,364,14,289,245,7
78,200,261,14,206,281,42
79,241,304,14,279,241,6
80,253,253,14,266,239,10
81,201,233,14,268,247,30
82,157,263,12,278,184,10
83,175,335,12,257,390,2
84,207,229,14,164,255,17
85,229,267,14,231,229,6
86,301,316,14,204,290,6
87,187,203,14,260,92,17
88,292,127,14,285,259,23
89,237,198,14,274,355,10
90,277,140,14,254,273,10
91,312,328,14,342,220,6
92,250,344,14,299,287,10
