X,Y,OBJECTID,CBML,TIPO_SITIO,NOMBRE,TIPO_IMPORTANCIA
-75.576213187700006,6.3005994625,2207,06040380001,Parque,RAFAEL J. MEJIA,Baja
-75.5727231778,6.3088592436,2208,06010640002,Centro de Cultura Religiosa,PARROQUIA SAN JUAN BAUTISTA PRECURSOR,Alta
-75.582715757100004,6.303991085,2209,06100090022,Centro de Cultura Religiosa,IGLESIA PENTECOSTAL UNIDA DE COLOMBIA,Medio
-75.574496319,6.302770351,2210,06040700001,Edificios,LONDOÑO ALZATE,Medio
-75.576977614499995,6.2895212074,2211,06050030016,Edificios,SANCHEZ RESTREPO,Medio
-75.571947934299999,6.303951884,2212,06040880014,Edificios,BETANCUR MEJIA,Medio
-75.575275325800007,6.3078832499,2213,06010450001,Edificios,CASTELLON DE SANTAD,Medio
-75.576408406200002,6.2972137359,2214,06040080004,Edificios,PABON PALACIO,Medio
-75.577138056799996,6.2922495416,2215,06050220018,Edificios,GOMEZ,Medio
-75.579725888,6.2911127194,2216,06060010049,Edificios,GOMEZ VALDES,Medio
-75.579489177300005,6.2940956829,2217,06060200012,Edificios,EDUARDO JAIME CORTEZ,Medio
-75.580576279599995,6.294741917,2218,06060220036,Edificios,SIERRA,Medio
-75.5775523362,6.2924509234,2219,06050230019,Edificios,JIMENEZ AGUDELO,Medio
-75.579507069,6.287315773,2220,06070300049,Edificios,MARTINEZ HINCAPIE,Medio
-75.581945229799999,6.2862437847,2221,06070220026,Edificios,REYES,Medio
-75.573184140500004,6.3065949072,2222,06010380005,Edificios,MESA GONZALEZ,Medio
-75.582181341799995,6.285989061,2223,06070220004,Edificios,LUIS ALFONSO,Medio
-75.583062591399994,6.3000953237,2224,06080650002,Cancha,COLISEO,Baja
-75.580337750499993,6.28946016,2225,06070710068,Edificios,HERRERA VELEZ P.H.,Alta
-75.572721795099994,6.3042047472,2226,06041110001,Parque,INFANTIL,Baja
-75.583098582199995,6.2891169538,2227,06070390033,Edificios,VILLA VILLADA,Alta
-75.577992894100007,6.3065421415,2228,06020790001,Señalización,TORRE ALTA TENSION,Baja
-75.573825163099997,6.3010136496,2229,06040550012,Señalización,PEATONAL,Baja
-75.583893200700004,6.2919096468,2230,06070800038,Edificios,LOPEZ GAVIRIA,Alta
-75.585988128400004,6.2898644147,2231,06070550032,Edificios,CHAVARRIA P.H.,Alta
-75.578792975100001,6.2886007897,2232,06070670011,Edificios,HENAO OROZCO P.H.,Alta
-75.579670058700003,6.2886918067,2233,06070690004,Edificios,ALZATE P.H.,Alta
-75.580794031899998,6.2879668866,2234,06070330023,Edificios,GIRALDO CORREA,Alta
-75.577174908900005,6.3041124323,2235,06010010004,Cancha,UNIDAD DEPORTIVA DOCE DE OCTUBRE,Baja
-75.583442960100001,6.2893757367,2236,06070390018,Edificios,LA ESPERANZA,Alta
-75.584506033099998,6.2870535172,2237,06070940001,Parque,LA CRUZ,Baja
-75.578386898600002,6.3032022894,2238,06010010008,Instituto Educativo,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR,Alta
-75.581962860199994,6.2872000782,2239,06070350008,Edificios,MARIA LUISA,Alta
-75.5820931449,6.2854917244,2240,06070060014,Edificios,RUIZ MORENO,Alta
-75.582968135,6.2894271005,2241,06070600015,Edificios,GUTIERREZ ZAPATA,Alta
-75.580343167699994,6.2868829882,2242,06070260015,Edificios,ROSA HELENA P.H.,Alta
-75.582471482,6.286517593,2243,06070210017,Edificios,ARANGO,Alta
-75.582224477599993,6.2881727974,2244,06070620012,Edificios,CADAVID,Alta
-75.575268949100007,6.2982295768,2245,06040220014,Comercio,"MISION PANAMERICANA DE COLOMBIA SEDE PED ""CENTRO DE FE Y ESPERANZA""",Medio
-75.581129483500007,6.2887030595,2246,06070640030,Edificios,ACENET OQUENDO MORENO,Alta
-75.580137157500005,6.289040409,2247,06070700009,Edificios,VIRGELINA MOLARES,Alta
-75.582665986799995,6.2879360634,2248,06070370006,Edificios,RODRIGUEZ,Alta
-75.581732986899993,6.2905078985,2249,06070740002,Señalización,CONCENTRACION KENNEDY UNIDAD BASICA,Baja
-75.582565045500004,6.2873401927,2251,06070200025,Edificios,ORREGO P.H.,Alta
-75.582896022200003,6.2867865243,2252,06070200013,Edificios,TAVERA,Alta
-75.581379585299999,6.2870501093,2253,06070340025,Edificios,MEJIA RIOS P.H.,Alta
-75.580246976400005,6.2872149669,2254,06070260021,Edificios,P.H. ZAPATA,Alta
-75.585044439300006,6.308497109,2255,06120200024,Escuelas Colegios,"PREESCOLAR ""LUCERITOS DEL PICACHO""",Alta
-75.571760126599997,6.3054607735,2256,06040900001,Señalización,GRADAS,Baja
-75.5807334016,6.3090378375,2257,06021110001,Cancha,CANCHA,Baja
-75.58434387,6.2923966725,2258,06070930011,Edificios,ARTURO Y CIA. P.H.,Alta
-75.580489076500001,6.2871810471,2259,06070250029,Edificios,MEJIA,Alta
