,HOUSEHOLD_X,HOUSEHOLD_Y,HOUSEHOLD_TYPE,WORKPLACE_X,WORKPLACE_X,WORKPLACE_TYPE
0,300,274,14,293,230,23
1,72,22,12,214,223,42
2,319,109,14,292,304,10
3,218,212,14,330,341,2
4,284,204,14,267,178,8
5,186,319,14,301,235,10
6,255,211,14,359,334,18
7,76,46,12,278,251,23
8,210,211,14,277,188,10
9,306,234,14,188,205,10
10,175,230,14,209,216,6
11,187,159,12,316,338,6
12,305,80,12,282,411,2
13,172,247,14,275,234,10
14,214,179,14,269,323,6
15,345,220,14,237,234,10
16,256,51,12,282,251,6
17,284,95,14,277,385,17
18,224,178,14,227,228,33
19,309,203,12,226,218,46
20,209,270,14,303,245,8
21,241,353,14,309,216,6
22,252,350,14,260,361,6
23,232,208,14,248,346,6
24,310,119,14,341,325,16
25,275,146,12,190,207,6
26,269,68,11,266,232,10
27,282,155,14,341,192,6
28,182,220,14,270,236,7
29,274,379,14,294,332,17
30,309,94,12,239,328,25
31,216,343,14,219,360,25
32,149,264,37,162,250,17
33,183,198,14,234,236,23
34,311,347,14,244,199,30
35,269,205,14,295,246,16
36,211,228,14,295,406,17
37,246,340,14,340,363,1
38,321,356,14,246,380,6
39,185,211,14,312,277,6
40,56,54,14,206,260,8
41,195,245,14,342,220,6
42,313,126,14,340,219,17
43,239,92,14,293,119,23
44,319,305,14,306,320,17
45,319,50,11,190,208,10
46,251,350,14,231,211,16
47,206,205,14,310,212,17
48,234,333,14,334,371,17
49,219,203,14,268,231,10
50,295,82,12,315,319,10
51,330,281,37,282,250,23
52,247,155,14,307,275,6
53,97,27,14,275,214,20
54,265,45,14,286,261,10
55,187,128,14,244,203,9
56,215,330,12,303,324,17
57,318,83,14,245,391,6
58,332,261,14,252,185,24
59,233,360,12,338,93,17
60,180,249,37,221,259,7
61,207,221,14,224,209,10
62,324,357,14,215,219,10
63,283,252,14,228,226,38
64,253,364,14,246,404,10
65,306,229,14,276,189,24
66,89,49,14,237,288,6
67,231,222,14,233,100,24
68,318,366,14,271,238,10
